actual,predicted
15651.0,15641.73
15514.0,15520.135
15369.0,15429.075
15116.0,15207.515
14930.0,15048.545
15315.0,15257.885
15270.0,15317.75
14785.0,14807.64
13977.0,14016.41
13103.0,13097.985
12214.0,12240.02
11597.0,11639.235
11273.0,11274.105
11119.0,11109.12
11064.0,11058.605
11356.0,11318.75
11733.0,11759.695
12495.0,12454.49
13063.0,13042.57
13630.0,13593.63
13840.0,13912.715
13905.0,13918.19
13818.0,13834.035
13753.0,13772.255
13579.0,13588.655
13551.0,13550.665
13509.0,13550.615
13498.0,13529.445
13557.0,13546.005
14122.0,14034.53
14094.0,14074.915
13600.0,13675.52
12956.0,12951.505
12096.0,12137.9
11269.0,11370.805
10782.0,10791.41
10580.0,10572.23
10446.0,10443.225
10426.0,10435.685
10468.0,10508.04
10862.0,10795.985
11250.0,11274.605
11823.0,11834.68
12362.0,12358.35
12682.0,12681.49
12825.0,12846.27
12931.0,12932.375
13015.0,13022.185
12967.0,12982.905
12954.0,12947.635
13031.0,13046.02
13136.0,13176.4
13247.0,13293.03
14066.0,13976.32
14162.0,14204.22
13770.0,13720.31
13099.0,13103.175
12346.0,12343.28
11907.0,11841.55
11614.0,11620.96
11581.0,11549.02
11514.0,11542.06
11761.0,11769.5
12558.0,12561.84
14103.0,14113.915
15277.0,15198.615
15421.0,15438.16
15501.0,15524.99
15609.0,15597.14
15554.0,15559.06
15366.0,15427.815
15365.0,15340.33
15370.0,15321.605
15217.0,15230.02
15133.0,15168.425
15059.0,15087.74
15128.0,15120.53
15995.0,15865.01
15981.0,15966.3
15417.0,15419.44
14417.0,14420.62
13402.0,13363.01
12618.0,12600.475
12277.0,12210.625
12051.0,12050.55
12052.0,12017.135
12239.0,12258.265
13072.0,13024.505
14685.0,14622.585
15784.0,15713.17
15851.0,15822.795
15846.0,15832.47
15730.0,15766.405
15551.0,15594.63
15484.0,15467.475
15481.0,15430.385
15381.0,15374.595
15343.0,15282.32
15231.0,15301.805
15119.0,15197.095
15333.0,15301.85
16068.0,15955.915
16067.0,16038.63
15528.0,15539.08
14565.0,14591.25
13465.0,13500.875
12704.0,12717.12
12261.0,12254.49
11970.0,11984.02
11862.0,11871.25
11918.0,11958.92
12561.0,12593.185
14084.0,14063.205
15137.0,15126.02
15177.0,15186.19
15211.0,15234.865
15410.0,15407.515
15457.0,15424.14
15387.0,15417.555
15540.0,15470.98
15362.0,15421.445
15248.0,15234.26
15267.0,15259.375
15342.0,15310.445
15570.0,15526.515
16136.0,16100.725
15973.0,16008.26
15457.0,15460.08
14407.0,14449.585
13502.0,13450.9
12685.0,12708.905
